Depth_m,test_rmse_from_full_training_data,test_rmse_from_downsampled_training
0,1.3154739420256303,1.495164141445128
0.5,1.3153355645714186,1.4801592538122028
1,1.3396228525350535,1.4770190282575573
1.5,1.3366735741483196,1.498446802236092
2,1.3319599051638948,1.521859537788777
2.5,1.3177970148822005,1.50537031485028
3,1.3159492463627913,1.485364907430831
3.5,1.3226789882592762,1.4770733979757713
4,1.330530357685815,1.4439622932274179
4.5,1.3398495990011992,1.4493064658470425
5,1.3596164719331025,1.4568217261040677
5.5,1.3611888964768366,1.4353475449628748
6,1.3540664433975333,1.424405907336096
6.5,1.3643019280985986,1.446664953491542
7,1.3707182036978498,1.4634842794559817
7.5,1.3871906427094431,1.484373689708334
8,1.4117371768973064,1.5157189279575
8.5,1.4250211181760228,1.5275164862539305
9,1.4546480957974761,1.5510517214419124
9.5,1.4244081826624693,1.501668803916406
10,1.3541973779788548,1.391899289582388
