DateTime,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10
2019-4-25 00:00,10.455,10.468,10.411,10.414,10.419,10.351,10.353,10.284,9.845,9.627,9.259,9.177,9.03,8.952,8.871,8.446,8.371,8.36,8.218,8.209,7.997
2019-4-25 02:00,10.182,10.187,10.186,10.112,10.05,9.981,9.979,9.849,9.913,9.848,9.786,9.785,9.786,9.781,9.719,9.709,9.489,8.447,8.428,8.05,7.857
2019-4-25 04:00,9.85,9.814,9.823,9.829,9.831,9.834,9.775,9.842,9.848,9.851,9.856,9.853,9.857,9.707,8.452,8.357,8.141,8.131,7.992,7.62,7.285
2019-4-25 06:00,9.742,9.749,9.69,9.691,9.694,9.628,9.629,9.633,9.635,9.575,9.576,9.64,9.574,9.512,9.575,9.571,8.888,7.942,7.531,7.161,7.058
2019-4-25 08:00,9.582,9.594,9.54,9.608,9.543,9.543,9.473,9.483,9.484,9.482,9.493,9.428,9.493,9.494,8.304,7.905,7.896,7.895,7.762,7.553,7.548
2019-4-25 10:00,9.463,9.466,9.473,9.481,9.409,9.341,9.278,9.278,9.272,9.276,9.218,9.216,9.209,9.208,9.205,8.984,8.015,7.859,7.792,7.692,7.489
2019-4-25 12:00,8.942,9.073,9.076,9.081,9.02,9.021,8.96,9.02,9.008,9.071,9.005,9.01,9.013,9.006,8.993,8.579,8.194,7.852,7.613,7.474,7.206
2019-4-25 14:00,9.267,9.331,9.138,9.013,8.887,8.819,8.886,8.95,8.949,8.945,8.877,8.937,8.924,8.849,8.7,8.477,8.168,7.845,7.542,7.37,7.137
2019-4-25 16:00,10.401,10.617,10.468,10.41,10.19,9.547,9.141,8.991,8.857,8.904,8.778,8.714,8.772,8.692,8.699,8.606,8.215,7.929,7.729,7.565,7.394
2019-4-25 18:00,10.801,11.219,11.243,12.102,11.443,10.379,9.336,9.103,8.803,8.738,8.679,8.755,8.753,8.752,8.688,8.744,8.601,8.053,7.698,7.559,7.552
2019-4-25 20:00,12.042,12.182,12.137,12.012,12.07,12.142,11.817,9.953,9.625,9.164,8.987,8.885,8.878,8.856,8.802,8.727,8.482,8.117,8.118,8.039,7.708
2019-4-25 22:00,12.505,14.702,12.416,12.326,12.467,12.596,12.476,12.992,11.476,9.309,8.895,8.87,8.816,8.8,8.651,8.416,8.39,8.351,8.109,7.909,7.87
2019-4-26 00:00,12.723,12.735,12.622,12.708,12.765,12.622,12.426,12.36,12.487,9.26,8.837,8.837,8.831,8.762,8.694,8.452,8.242,8.077,7.928,7.79,7.314
2019-4-26 02:00,12.267,12.319,12.218,12.153,12.015,12.016,11.815,11.576,11.475,11.464,9.451,8.786,8.771,8.708,8.705,8.555,8.386,8.089,7.91,7.839,7.035
2019-4-26 04:00,12.348,12.36,12.075,11.866,11.664,11.601,11.404,11.189,11.246,9.672,8.821,8.853,8.836,8.77,8.695,8.618,8.317,8.23,8.016,7.288,7.051
2019-4-26 06:00,12.308,12.3,12.299,12.24,12.175,12.039,11.909,11.537,11.393,11.262,11.037,9.112,8.699,8.762,8.766,8.758,8.604,8.461,8.235,7.934,7.088
2019-4-26 08:00,11.767,11.702,11.638,11.504,11.494,11.35,11.217,11.204,11.06,10.79,10.774,10.715,10.643,9.807,8.772,8.546,8.54,8.539,8.087,7.897,6.921
2019-4-26 10:00,11.451,11.499,11.451,11.454,10.867,10.857,10.728,10.728,10.725,10.525,10.58,10.58,10.452,10.442,10.291,8.772,8.408,8.405,8.093,7.218,7.223
2019-4-26 12:00,11.068,11.102,10.591,10.516,10.451,10.314,10.252,10.253,10.254,10.249,10.185,10.041,9.968,9.894,9.888,9.244,8.565,8.331,8.182,7.801,7.259
