Depth_m,Temp_C,datetime,DO_mg.L
0,19.156,2019-04-25T00:00:00Z,10.455
0.5,19.137,2019-04-25T00:00:00Z,10.468
1,19.193,2019-04-25T00:00:00Z,10.411
1.5,19.229,2019-04-25T00:00:00Z,10.414
2,19.171,2019-04-25T00:00:00Z,10.419
2.5,19.239,2019-04-25T00:00:00Z,10.351
3,19.24,2019-04-25T00:00:00Z,10.353
3.5,19.191,2019-04-25T00:00:00Z,10.284
4,18.98,2019-04-25T00:00:00Z,9.845
4.5,18.752,2019-04-25T00:00:00Z,9.627
5,18.735,2019-04-25T00:00:00Z,9.259
5.5,18.713,2019-04-25T00:00:00Z,9.177
6,18.584,2019-04-25T00:00:00Z,9.03
6.5,18.607,2019-04-25T00:00:00Z,8.952
7,18.544,2019-04-25T00:00:00Z,8.871
7.5,18.407,2019-04-25T00:00:00Z,8.446
8,18.444,2019-04-25T00:00:00Z,8.371
8.5,18.299,2019-04-25T00:00:00Z,8.36
9,18.292,2019-04-25T00:00:00Z,8.218
9.5,18.374,2019-04-25T00:00:00Z,8.209
10,18.149,2019-04-25T00:00:00Z,7.997
0,19.053,2019-04-25T02:00:00Z,10.182
0.5,19.093,2019-04-25T02:00:00Z,10.187
1,19.008,2019-04-25T02:00:00Z,10.186
1.5,19.032,2019-04-25T02:00:00Z,10.112
2,19.019,2019-04-25T02:00:00Z,10.05
2.5,19.056,2019-04-25T02:00:00Z,9.981
3,18.923,2019-04-25T02:00:00Z,9.979
3.5,18.954,2019-04-25T02:00:00Z,9.849
4,18.986,2019-04-25T02:00:00Z,9.913
4.5,18.924,2019-04-25T02:00:00Z,9.848
5,18.939,2019-04-25T02:00:00Z,9.786
5.5,18.979,2019-04-25T02:00:00Z,9.785
6,18.917,2019-04-25T02:00:00Z,9.786
6.5,18.936,2019-04-25T02:00:00Z,9.781
7,18.939,2019-04-25T02:00:00Z,9.719
7.5,18.866,2019-04-25T02:00:00Z,9.709
8,18.773,2019-04-25T02:00:00Z,9.489
8.5,18.447,2019-04-25T02:00:00Z,8.447
9,18.319,2019-04-25T02:00:00Z,8.428
9.5,18.211,2019-04-25T02:00:00Z,8.05
10,18.057,2019-04-25T02:00:00Z,7.857
0,18.987,2019-04-25T04:00:00Z,9.85
0.5,18.919,2019-04-25T04:00:00Z,9.814
1,18.945,2019-04-25T04:00:00Z,9.823
1.5,18.953,2019-04-25T04:00:00Z,9.829
2,18.983,2019-04-25T04:00:00Z,9.831
2.5,18.894,2019-04-25T04:00:00Z,9.834
3,18.901,2019-04-25T04:00:00Z,9.775
3.5,18.905,2019-04-25T04:00:00Z,9.842
4,18.957,2019-04-25T04:00:00Z,9.848
4.5,18.959,2019-04-25T04:00:00Z,9.851
5,18.933,2019-04-25T04:00:00Z,9.856
5.5,18.891,2019-04-25T04:00:00Z,9.853
6,18.995,2019-04-25T04:00:00Z,9.857
6.5,18.912,2019-04-25T04:00:00Z,9.707
7,18.406,2019-04-25T04:00:00Z,8.452
7.5,18.337,2019-04-25T04:00:00Z,8.357
8,18.303,2019-04-25T04:00:00Z,8.141
8.5,18.274,2019-04-25T04:00:00Z,8.131
9,18.144,2019-04-25T04:00:00Z,7.992
9.5,17.928,2019-04-25T04:00:00Z,7.62
10,17.875,2019-04-25T04:00:00Z,7.285
0,18.961,2019-04-25T06:00:00Z,9.742
0.5,18.919,2019-04-25T06:00:00Z,9.749
1,18.927,2019-04-25T06:00:00Z,9.69
1.5,18.954,2019-04-25T06:00:00Z,9.691
2,18.912,2019-04-25T06:00:00Z,9.694
2.5,18.901,2019-04-25T06:00:00Z,9.628
3,18.905,2019-04-25T06:00:00Z,9.629
3.5,18.926,2019-04-25T06:00:00Z,9.633
4,18.914,2019-04-25T06:00:00Z,9.635
4.5,18.915,2019-04-25T06:00:00Z,9.575
5,18.906,2019-04-25T06:00:00Z,9.576
5.5,18.926,2019-04-25T06:00:00Z,9.64
6,18.962,2019-04-25T06:00:00Z,9.574
6.5,18.877,2019-04-25T06:00:00Z,9.512
7,18.915,2019-04-25T06:00:00Z,9.575
7.5,18.923,2019-04-25T06:00:00Z,9.571
8,18.946,2019-04-25T06:00:00Z,8.888
8.5,18.157,2019-04-25T06:00:00Z,7.942
9,17.944,2019-04-25T06:00:00Z,7.531
9.5,17.763,2019-04-25T06:00:00Z,7.161
10,17.716,2019-04-25T06:00:00Z,7.058
0,18.979,2019-04-25T08:00:00Z,9.582
0.5,18.954,2019-04-25T08:00:00Z,9.594
1,18.98,2019-04-25T08:00:00Z,9.54
1.5,18.887,2019-04-25T08:00:00Z,9.608
2,18.97,2019-04-25T08:00:00Z,9.543
2.5,18.962,2019-04-25T08:00:00Z,9.543
3,18.962,2019-04-25T08:00:00Z,9.473
