Depth_m,rmse_original_split,rmse_switched_split
0,1.3161177352591193,1.6116722338412504
0.5,1.3173844018826075,1.6007778784309856
1,1.3439905492635493,1.5710704826611717
1.5,1.3409123224201507,1.5595288840787487
2,1.339755244864063,1.5786050173051662
2.5,1.3347539249489708,1.6024171144645039
3,1.33077637768455,1.5845248512661612
3.5,1.335467553198601,1.5675843864404568
4,1.3356241596434446,1.557417695304507
4.5,1.3440062858026354,1.5174483267284962
5,1.3663591302061648,1.4833005187731743
5.5,1.3666063313802976,1.4168475324642007
6,1.3576819653382026,1.3943343732926046
6.5,1.3677585836045152,1.36671557365139
7,1.3636372187597159,1.3225404432162458
7.5,1.3790451613367112,1.2619910868566582
8,1.4021666581967291,1.1592724131874084
8.5,1.4119054245604123,1.1205587709872773
9,1.4389056991119453,1.083648691114823
9.5,1.4061080251993128,1.0799391063102248
10,1.3389618038165436,1.0192919595635659
