split_prop,rmse_on_test_set,split_percent
0.01,1.7069467469503699,1
0.01,1.7566062622929526,1
0.01,1.6806315746527176,1
0.01,1.647395383265364,1
0.01,1.7236037863761353,1
0.05,1.4489407151211207,5
0.05,1.4588530872190122,5
0.05,1.4343854712927018,5
0.05,1.4589086704530643,5
0.05,1.4411610560637658,5
0.1,1.387389008916403,10
0.1,1.4073147557991785,10
0.1,1.4119000745548522,10
0.1,1.3904813567523677,10
0.1,1.4255985993061187,10
0.25,1.380849613862368,25
0.25,1.3644554701222493,25
0.25,1.3787071122705479,25
0.25,1.3643898583240057,25
0.25,1.3732174581923886,25
0.5,1.373397657928328,50
0.5,1.360905207708806,50
0.5,1.3721703244209351,50
0.5,1.374951192953061,50
0.5,1.3761147598163352,50
0.75,1.359510612433539,75
0.75,1.3688116907121273,75
0.75,1.355711691982601,75
0.75,1.3653155557714804,75
0.75,1.362813249447493,75
0.9,1.3659001273298503,90
0.9,1.3617539988026224,90
0.9,1.3611737550312581,90
0.9,1.365137831925143,90
0.9,1.3653146248325039,90
1,1.3558838389182086,100
