WaterTemp_C,Datetime,Depth_m,DO_mg.L,DewPoint_C,Cloud_cov_fraction,AirTemp_C,Pressure_hPa,WWind_m.s,SWind_m.s,doy,hour_of_day,val_period
13.688,2021-03-22T13:00:00Z,0,10.638,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
13.643,2021-03-22T13:00:00Z,0.5,10.685,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
13.598,2021-03-22T13:00:00Z,1,10.733,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
13.663,2021-03-22T13:00:00Z,1.5,10.676,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
13.453,2021-03-22T13:00:00Z,2,10.575,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
13.374,2021-03-22T13:00:00Z,2.5,10.714,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
13.175,2021-03-22T13:00:00Z,3,10.565,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
12.595,2021-03-22T13:00:00Z,3.5,10.035,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
11.847,2021-03-22T13:00:00Z,4,8.946,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
11.563,2021-03-22T13:00:00Z,4.5,8.886,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
11.254,2021-03-22T13:00:00Z,5,8.585,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
10.942,2021-03-22T13:00:00Z,5.5,8.269,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
9.771,2021-03-22T13:00:00Z,6,7.015,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
8.984,2021-03-22T13:00:00Z,6.5,6.966,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
8.679,2021-03-22T13:00:00Z,7,7.255,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
8.38,2021-03-22T13:00:00Z,7.5,6.017,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
8.31,2021-03-22T13:00:00Z,8,6.448,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
8.145,2021-03-22T13:00:00Z,8.5,6.329,5.6,0,13.3,1016.2,-5.020886050671748e-16,4.1,81,13,1
13.627,2021-03-22T15:00:00Z,0,10.77,7.2,0,15.6,1014.7,-1.423915056868828,8.075423574700105,81,15,1
13.582,2021-03-22T15:00:00Z,0.5,10.855,7.2,0,15.6,1014.7,-1.423915056868828,8.075423574700105,81,15,1
13.403,2021-03-22T15:00:00Z,1,11.057,7.2,0,15.6,1014.7,-1.423915056868828,8.075423574700105,81,15,1
13.31,2021-03-22T15:00:00Z,1.5,10.973,7.2,0,15.6,1014.7,-1.423915056868828,8.075423574700105,81,15,1
13.174,2021-03-22T15:00:00Z,2,10.89,7.2,0,15.6,1014.7,-1.423915056868828,8.075423574700105,81,15,1
