datetime	doobs_0	doobs_0.5	doobs_1	doobs_1.5	doobs_2	doobs_2.5	doobs_3	doobs_3.5	doobs_4	doobs_4.5	doobs_5	doobs_5.5	doobs_6	doobs_6.5	doobs_7	doobs_7.5	doobs_8	doobs_8.5
3/22/2021 13:00	10.638	10.685	10.733	10.676	10.575	10.714	10.565	10.035	8.946	8.886	8.585	8.269	7.015	6.966	7.255	6.017	6.448	6.329
3/22/2021 15:00	10.77	10.855	11.057	10.973	10.89	10.609	9.433	8.956	8.717	8.651	8.388	8.186	7.494	7.032	6.89	7.111	6.918	5.616
3/22/2021 17:00	10.904	10.877	11.061	10.977	11.253	10.566	10.421	9.326	8.907	8.57	8.544	8.433	8.087	7.383	7.217	7.189	7.136	6.765
3/22/2021 19:00	10.679	10.743	10.745	10.725	10.797	10.769	10.777	9.943	9.804	8.906	8.53	8.509	8.383	7.387	7.089	6.989	6.468	6.142
3/22/2021 21:00	10.515	10.507	10.59	10.591	10.565	10.617	10.505	10.508	10.577	9.172	8.703	8.463	7.73	6.815	6.586	6.143	5.811	5.184
3/22/2021 23:00	10.529	10.605	10.62	10.547	10.592	10.621	10.579	10.6	10.609	9.863	8.791	8.488	7.984	6.232	6.813	6.673	6.055	4.985
3/23/2021 1:00	10.383	10.465	10.461	10.415	10.479	10.439	10.496	10.547	10.434	10.433	9.383	8.143	6.927	6.564	6.812	6.406	5.285	5.237
3/23/2021 3:00	10.194	10.2	10.261	10.277	10.292	10.279	10.276	10.279	10.287	9.627	8.472	7.618	6.722	6.795	6.909	6.884	6.489	6.056
3/23/2021 5:00	10.236	10.233	10.249	10.282	10.216	10.271	10.269	10.196	10.227	9.19	8.131	7.996	7.521	6.797	6.777	6.441	6.714	5.651
3/23/2021 7:00	10.23	10.224	10.195	10.184	10.18	10.099	10.048	10.016	9.922	8.471	8.104	7.762	7.432	6.926	6.507	6.47	5.714	5.105
3/23/2021 9:00	10.1	10.096	10.122	10.11	10.118	10.084	9.936	9.064	8.442	8.257	7.667	7.599	7.478	6.574	6.412	5.975	5.753	5.473
3/23/2021 11:00	10.282	10.148	10.209	10.175	9.938	8.796	8.523	8.267	8.113	8.017	7.815	7.901	7.411	6.886	6.325	5.813	5.385	4.951
3/23/2021 13:00	10.072	10.125	10.122	9.965	9.655	8.885	8.559	8.49	8.331	8.303	8.149	8.105	8.15	7.248	6.466	6.425	5.498	4.945
3/23/2021 15:00	10.28	10.345	10.268	10.151	9.705	9.215	8.569	8.437	8.254	8.156	7.929	7.839	7.736	7.538	6.242	6.044	5.73	5.019
3/23/2021 17:00	10.407	10.419	10.468	10.424	9.762	9.472	9.308	8.65	8.319	8.175	7.894	7.75	7.868	7.374	6.454	6.266	5.078	4.622
3/23/2021 19:00	10.429	10.403	10.423	10.42	10.009	9.936	9.675	9.467	8.82	8.582	8.335	8.146	7.927	7.695	7.187	6.339	6.26	4.982
3/23/2021 21:00	10.148	10.131	10.173	10.133	10.063	9.767	9.755	9.661	9.069	8.461	8.422	8.364	8.13	7.476	6.091	5.72	5.446	5.058
3/23/2021 23:00	9.984	9.973	9.947	9.994	9.959	9.916	9.455	9.423	9.119	8.641	8.349	8.089	7.658	7.17	6.039	5.367	5.253	4.783
3/24/2021 1:00	10.031	10.033	10.003	10.013	9.98	9.985	9.98	9.197	9.153	9.071	8.484	8.362	8.051	7.28	6.139	5.476	5.213	5.303
3/24/2021 3:00	9.898	9.932	9.875	9.828	9.814	9.735	9.479	9.215	9.008	8.949	8.373	8.148	7.673	7.31	6.107	5.932	5.208	4.711
3/24/2021 5:00	9.94	9.925	9.839	9.843	9.837	9.869	9.73	9.253	9.239	8.893	8.349	8.064	7.899	7.364	6.311	5.686	5.835	5.444
3/24/2021 7:00	9.643	9.733	9.672	9.679	9.676	9.665	9.556	9.111	8.833	8.739	8.206	7.924	7.776	6.874	6.34	6.031	5.582	5.041
3/24/2021 9:00	9.746	9.735	9.726	9.693	9.695	9.711	9.701	9.134	8.809	8.49	8.011	7.737	7.384	6.902	6.351	5.795	5.538	4.75
3/24/2021 11:00	10.094	10.034	10.041	9.903	9.689	9.666	9.283	8.964	8.38	8.08	7.853	7.522	6.949	6.787	6.076	5.522	5.336	4.408
3/24/2021 17:00	10.613	10.543	10.554	10.467	10.37	10.135	9.93	9.018	8.712	8.583	8.545	8.374	7.723	7.393	6.18	5.84	4.967	4.306
3/24/2021 19:00	10.73	10.711	10.717	10.68	10.573	10.456	10.287	9.797	9.334	9.175	8.917	8.443	7.704	7.471	6.458	5.224	5.404	4.402
3/24/2021 21:00	13.08	12.714	12.598	12.586	12.654	12.718	12.804	11.946	11.629	11.397	11.079	10.658	9.7	9.294	8.099	6.753	6.305	5.711
3/24/2021 23:00	11.312	11.625	11.25	11.062	10.875	10.812	10.75	11	10.938	11.25	10	9.375	9.5	9.188	7.469	6.469	5.656	4.719
3/25/2021 1:00	12	12.938	12.062	11.5	11.375	11.25	11.25	11.188	11.188	11.125	11.188	11.125	11.062	10.562	7	6.125	6.062	5.781
3/25/2021 3:00	12.373	13.599	12.656	12.294	12.081	11.877	11.691	11.678	11.55	11.391	11.333	11.185	11.114	10.919	10.7	7.067	6.309	5.36
3/25/2021 5:00	11.336	11.254	11.117	11.061	10.979	10.928	10.829	10.886	10.791	10.799	10.782	10.747	10.693	9.034	6.061	5.403	5.475	4.285
3/25/2021 7:00	11.267	11.373	10.936	10.88	10.989	10.891	10.999	10.878	10.877	10.817	10.833	10.764	9.975	7.11	5.627	5.775	5.278	5.342
3/25/2021 9:00	10.632	10.551	10.469	10.483	10.491	10.498	10.542	10.529	10.204	10.035	9.974	9.254	8	7.442	6.587	5.784	5.258	4.705
3/28/2021 11:00	10.736	10.741	10.734	10.715	10.715	10.717	10.705	10.564	10.534	9.027	7.732	7.39	6.919	6.927	6.069	4.507	3.814	3.484
3/28/2021 13:00	10.852	10.834	10.888	10.963	10.912	11.028	10.972	10.958	10.919	9.176	7.846	7.719	7.256	6.899	4.545	3.762	3.409	3.117
3/30/2021 15:00	11.054	11.033	10.92875	10.931	10.92675	10.98	10.72025	10.32725	10.14925	8.88575	7.84125	7.401	6.8145	6.43375	4.88425	3.92875	3.48725	2.97625
3/30/2021 17:00	11.55	11.164	10.9695	10.899	10.9415	10.932	10.4685	9.6965	9.3795	8.5955	7.8365	7.083	6.373	5.9685	5.2235	4.0955	3.5655	2.8355
3/30/2021 21:00	10.956	11.017	10.953	11.011	10.946	11.011	11.011	10.928	9.92	9.059	8.212	7.37	6.754	5.859	3.679	3.117	2.922	2.331
3/30/2021 23:00	10.877	10.883	10.932	10.933	10.934	10.999	10.938	10.929	9.635	9.066	8.203	7.894	5.995	4.607	3.693	3.388	2.884	1.595
3/31/2021 1:00	10.795	10.78	10.794	10.796	10.794	10.79	10.856	10.859	10.789	10.792	7.809	7.078	5.834	5.346	4.712	4.273	3.392	2.423
3/31/2021 3:00	10.639	10.639	10.637	10.63	10.633	10.573	10.629	10.636	10.639	10.639	10.559	6.789	6.243	5.755	4.69	3.993	3.471	2.568
3/31/2021 5:00	10.607	10.552	10.551	10.548	10.539	10.474	10.4	10.46	10.396	10.315	10.374	9.352	6.482	5.357	4.981	4.519	3.184	0.988
3/31/2021 7:00	10.155	10.183	10.229	10.151	10.143	10.219	10.217	10.22	10.218	10.15	10.205	10.151	7.78	5.685	4.754	3.967	2.862	2.267
3/31/2021 11:00	10.242	10.091	10.308	10.152	10.207	10.281	10.244	10.138	10.164	10.153	10.16	10.234	10.117	4.88	3.613	3.233	2.779	2.305
3/31/2021 19:00	10.797	10.789	10.841	10.788	10.843	10.779	10.704	10.712	10.426	9.647	7.233	6.647	5.361	5.147	4.834	3.953	3.058	1.937
3/31/2021 21:00	10.677	10.673	10.673	10.68	10.673	10.663	10.672	10.586	10.08	9.874	9.074	7.541	5.271	5.211	5.072	3.718	2.7	0.781
3/31/2021 23:00	10.501	10.505	10.551	10.54	10.549	10.502	10.462	10.292	10.19	9.852	9.643	8.945	6.147	5.194	4.069	3.057	2.435	1.412
4/1/2021 1:00	10.511	10.506	10.465	10.485	10.438	10.468	10.378	10.377	10.189	10.1	10.104	8.462	5.688	5.067	3.439	2.877	1.782	2.073
4/1/2021 3:00	10.334	10.348	10.336	10.349	10.336	10.354	10.325	10.321	10.262	10.038	9.955	6.49	5.298	4.87	3.486	3.046	2.507	0.527
4/1/2021 5:00	10.219	10.273	10.207	10.26	10.24	10.304	10.296	10.276	10.225	10.247	10.247	6.486	5.74	4.521	3.707	3.2	2.74	0.428
4/1/2021 7:00	10.159	10.163	10.173	10.167	10.165	10.241	10.248	10.183	10.185	10.164	10.123	7.126	5.618	4.804	4.235	3.553	2.992	1.968
4/1/2021 21:00	10.902	10.907	10.854	10.85	10.855	10.914	10.998	10.807	10.639	10.571	9.936	6.33	5.108	4.786	3.691	2.582	1.222	0.18
4/1/2021 23:00	10.927	10.823	10.814	10.834	10.873	10.824	10.869	10.732	10.68	10.461	8.201	5.936	5.475	4.588	3.237	2.768	2.509	0.226
4/2/2021 1:00	10.802		10.799	10.733	10.695	10.808	10.727	10.639	10.374	9.408	7.98	6.318	5.105	4.564	3.973	3.331	2.372	0.321
4/2/2021 3:00	10.677	10.681	10.671	10.626	10.682	10.678	10.674	10.579	10.284	9.179	8.441	6.318	5.177	5.115	4.237	3.327	2.578	0.003
4/2/2021 5:00	10.598	10.603	10.614	10.603	10.614	10.603	10.605	10.604	10.207	9.533	8.129	6.939	5.688	5.25	3.785	3.009	1.373	0.212
4/2/2021 7:00	10.515	10.512	10.544	10.525	10.533	10.524	10.515	10.591	10.514	10.443	8.662	7.111	5.159	4.546	3.313	2.75	1.215	0.1
4/2/2021 9:00	10.616	10.745	10.629	10.648	10.733	10.736	10.653	10.645	10.655	10.602	8.208	7.153	5.222	4.206	NA	NA	NA	NA
4/2/2021 19:00	11.119	11.083	11.113	11.002	11.067	11.139	11.26	10.853	9.91	9.061	7.83	6.51	4.72	4.325	4.045	3.39	2.874	0.312
4/2/2021 21:00	10.945	10.883	10.981	10.885	10.956	10.945	10.914	10.381	9.967	8.968	7.498	6.542	4.742	4.485	3.059	2.873	0.46	0
4/2/2021 23:00	10.956	10.879	10.876	10.879	10.88	10.883	10.822	10.307	8.786	8.002	7.149	5.503	4.836	3.563	2.741	2.5	0.743	0.037
4/3/2021 1:00	11.173	11.049	10.974	10.888	10.824	10.55	9.883	9.278	8.617	7.95	7.289	6.594	4.612	4.185	3.375	3.013	0.886	0.216
4/3/2021 3:00	10.841	10.836	10.832	10.883	10.377	10.09	9.91	9.5	9.019	8.166	7.127	6.375	4.738	3.966	4.274	3.181	2.245	0
