	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5
03/22/2021 13:00	13.688	13.643	13.598	13.663	13.453	13.374	13.175	12.595	11.847	11.563	11.254	10.942	9.771	8.984	8.679	8.38	8.31	8.145
03/22/2021 15:00	13.627	13.582	13.403	13.31	13.174	12.97	12.303	11.923	11.72	11.535	11.217	10.953	10.44	9.748	9.166	8.766	8.394	8.213
03/22/2021 17:00	13.735	13.748	13.595	13.551	13.198	13.008	12.775	12.319	11.955	11.472	11.275	11.152	10.947	10.499	9.409	8.947	8.736	8.482
03/22/2021 19:00	13.73	13.805	13.697	13.735	13.74	13.733	13.716	12.812	12.479	12.041	11.476	11.33	11.249	10.515	10.053	9.303	8.477	8.214
03/22/2021 21:00	13.715	13.714	13.739	13.647	13.722	13.698	13.643	13.681	13.655	12.483	11.834	11.381	10.959	9.974	9.193	8.543	8.268	8.176
03/22/2021 23:00	13.762	13.808	13.773	13.754	13.768	13.721	13.731	13.65	13.588	13.271	12.125	11.292	10.88	9.295	8.779	8.478	8.396	8.213
03/23/2021 01:00	13.624	13.568	13.6	13.62	13.576	13.546	13.54	13.422	13.347	13.37	13.185	11.149	10.314	9.357	8.653	8.541	8.268	8.193
03/23/2021 03:00	13.482	13.458	13.419	13.392	13.392	13.414	13.38	13.387	13.411	12.928	11.939	10.851	10.164	9.652	9.173	8.731	8.558	8.37
03/23/2021 05:00	13.36	13.369	13.339	13.352	13.316	13.352	13.323	13.341	13.252	12.757	11.108	10.921	10.661	10.185	9.481	8.944	8.671	8.37
03/23/2021 07:00	13.317	13.321	13.316	13.289	13.261	13.311	13.295	13.221	13.171	11.66	11.246	10.965	10.656	10.355	9.653	8.777	8.324	8.292
03/23/2021 09:00	13.247	13.238	13.229	13.206	13.202	13.194	13.085	12.793	11.832	11.364	10.983	10.904	10.645	9.905	9.203	8.512	8.384	8.369
03/23/2021 11:00	13.249	13.229	13.25	13.235	13.146	12.168	11.805	11.619	11.418	11.296	11.095	10.945	10.953	10.288	9.198	8.474	8.354	8.303
03/23/2021 13:00	13.173	13.156	13.11	12.967	12.773	12.145	11.984	11.831	11.746	11.662	11.512	11.492	11.431	10.882	9.678	8.882	8.366	8.275
03/23/2021 15:00	13.366	13.342	13.266	13.171	12.899	12.421	12.047	11.835	11.688	11.589	11.416	11.256	11.16	10.85	9.011	8.546	8.429	8.3
03/23/2021 17:00	13.324	13.344	13.363	13.267	12.816	12.665	12.42	12.076	11.85	11.732	11.532	11.432	11.296	10.867	9.861	8.842	8.272	8.269
03/23/2021 19:00	13.333	13.32	13.371	13.351	13.141	13.009	12.833	12.671	12.288	11.969	11.839	11.707	11.41	11.187	10.873	9.259	8.696	8.378
03/23/2021 21:00	13.205	13.241	13.207	13.206	13.213	12.974	12.906	12.843	12.492	11.988	11.889	11.849	11.812	11.348	8.589	8.479	8.341	8.351
03/23/2021 23:00	13.124	13.076	13.067	13.125	13.072	13.121	12.819	12.705	12.476	12.132	11.841	11.718	11.199	10.792	9.772	8.478	8.408	8.32
03/24/2021 01:00	13.034	13.031	13.025	13.064	13.106	13.028	13.016	12.699	12.606	12.513	12.046	11.857	11.333	10.786	9.201	8.55	8.406	8.417
03/24/2021 03:00	12.969	12.956	12.96	12.979	12.977	12.918	12.824	12.681	12.498	12.382	11.942	11.558	11.334	10.988	9.265	8.735	8.385	8.314
