Depth_m,Temp_C,datetime,DO_mg.L
0,13.688,2021-03-22T13:00:00Z,10.638
0.5,13.643,2021-03-22T13:00:00Z,10.685
1,13.598,2021-03-22T13:00:00Z,10.733
1.5,13.663,2021-03-22T13:00:00Z,10.676
2,13.453,2021-03-22T13:00:00Z,10.575
2.5,13.374,2021-03-22T13:00:00Z,10.714
3,13.175,2021-03-22T13:00:00Z,10.565
3.5,12.595,2021-03-22T13:00:00Z,10.035
4,11.847,2021-03-22T13:00:00Z,8.946
4.5,11.563,2021-03-22T13:00:00Z,8.886
5,11.254,2021-03-22T13:00:00Z,8.585
5.5,10.942,2021-03-22T13:00:00Z,8.269
6,9.771,2021-03-22T13:00:00Z,7.015
6.5,8.984,2021-03-22T13:00:00Z,6.966
7,8.679,2021-03-22T13:00:00Z,7.255
7.5,8.38,2021-03-22T13:00:00Z,6.017
8,8.31,2021-03-22T13:00:00Z,6.448
8.5,8.145,2021-03-22T13:00:00Z,6.329
0,13.627,2021-03-22T15:00:00Z,10.77
0.5,13.582,2021-03-22T15:00:00Z,10.855
1,13.403,2021-03-22T15:00:00Z,11.057
1.5,13.31,2021-03-22T15:00:00Z,10.973
2,13.174,2021-03-22T15:00:00Z,10.89
2.5,12.97,2021-03-22T15:00:00Z,10.609
3,12.303,2021-03-22T15:00:00Z,9.433
3.5,11.923,2021-03-22T15:00:00Z,8.956
4,11.72,2021-03-22T15:00:00Z,8.717
4.5,11.535,2021-03-22T15:00:00Z,8.651
5,11.217,2021-03-22T15:00:00Z,8.388
5.5,10.953,2021-03-22T15:00:00Z,8.186
6,10.44,2021-03-22T15:00:00Z,7.494
6.5,9.748,2021-03-22T15:00:00Z,7.032
7,9.166,2021-03-22T15:00:00Z,6.89
7.5,8.766,2021-03-22T15:00:00Z,7.111
8,8.394,2021-03-22T15:00:00Z,6.918
8.5,8.213,2021-03-22T15:00:00Z,5.616
0,13.735,2021-03-22T17:00:00Z,10.904
0.5,13.748,2021-03-22T17:00:00Z,10.877
1,13.595,2021-03-22T17:00:00Z,11.061
1.5,13.551,2021-03-22T17:00:00Z,10.977
2,13.198,2021-03-22T17:00:00Z,11.253
2.5,13.008,2021-03-22T17:00:00Z,10.566
3,12.775,2021-03-22T17:00:00Z,10.421
3.5,12.319,2021-03-22T17:00:00Z,9.326
4,11.955,2021-03-22T17:00:00Z,8.907
4.5,11.472,2021-03-22T17:00:00Z,8.57
5,11.275,2021-03-22T17:00:00Z,8.544
5.5,11.152,2021-03-22T17:00:00Z,8.433
6,10.947,2021-03-22T17:00:00Z,8.087
6.5,10.499,2021-03-22T17:00:00Z,7.383
7,9.409,2021-03-22T17:00:00Z,7.217
7.5,8.947,2021-03-22T17:00:00Z,7.189
8,8.736,2021-03-22T17:00:00Z,7.136
8.5,8.482,2021-03-22T17:00:00Z,6.765
0,13.73,2021-03-22T19:00:00Z,10.679
0.5,13.805,2021-03-22T19:00:00Z,10.743
1,13.697,2021-03-22T19:00:00Z,10.745
1.5,13.735,2021-03-22T19:00:00Z,10.725
2,13.74,2021-03-22T19:00:00Z,10.797
2.5,13.733,2021-03-22T19:00:00Z,10.769
3,13.716,2021-03-22T19:00:00Z,10.777
3.5,12.812,2021-03-22T19:00:00Z,9.943
4,12.479,2021-03-22T19:00:00Z,9.804
4.5,12.041,2021-03-22T19:00:00Z,8.906
5,11.476,2021-03-22T19:00:00Z,8.53
5.5,11.33,2021-03-22T19:00:00Z,8.509
6,11.249,2021-03-22T19:00:00Z,8.383
6.5,10.515,2021-03-22T19:00:00Z,7.387
7,10.053,2021-03-22T19:00:00Z,7.089
7.5,9.303,2021-03-22T19:00:00Z,6.989
8,8.477,2021-03-22T19:00:00Z,6.468
8.5,8.214,2021-03-22T19:00:00Z,6.142
0,13.715,2021-03-22T21:00:00Z,10.515
0.5,13.714,2021-03-22T21:00:00Z,10.507
