split_prop,rmse_on_test_set,split_percent
0.01,2.0464133084102443,1
0.01,2.1951115225790554,1
0.01,1.9528997238199546,1
0.01,2.051120186226153,1
0.01,2.3576815209620814,1
0.01,2.3359961863537295,1
0.01,2.2555050546055537,1
0.01,2.212856989651031,1
0.01,2.1091093518644395,1
0.01,2.17488502993825,1
0.05,2.113090794779675,5
0.05,1.9551559511860408,5
0.05,1.9200350187032211,5
0.05,2.1192105143093434,5
0.05,1.998597674504849,5
0.05,1.9977371988837234,5
0.05,1.9709023828150887,5
0.05,2.1362628500062764,5
0.05,2.0695771347665977,5
0.05,2.0475638325675827,5
0.1,2.1745101613646,10
0.1,2.05481669645018,10
0.1,2.0403918181189273,10
0.1,1.9922689522773964,10
0.1,1.9989233895826142,10
0.1,2.091338301882643,10
0.1,2.0097497599743694,10
0.1,2.034517177357106,10
0.1,2.0695577288540745,10
0.1,2.0059204604601573,10
0.25,2.069920345880548,25
0.25,2.0179840489530436,25
0.25,2.0101903112884485,25
0.25,2.0243343096297233,25
0.25,2.006574594784892,25
0.25,1.9590883073297636,25
0.25,2.1394814515496114,25
0.25,2.125615483170418,25
0.25,2.0868010318141477,25
0.25,2.0366506186960054,25
0.5,2.100745601017971,50
0.5,2.0752620752248916,50
0.5,2.04862680161373,50
0.5,2.078551738974353,50
0.5,2.076100773151331,50
0.5,2.1173726492539036,50
0.5,2.0746682233080125,50
0.5,2.0841729124958346,50
0.5,2.106133637250899,50
0.5,2.069024736440049,50
0.75,2.117949586281684,75
0.75,2.1026758093218003,75
0.75,2.0982056782712113,75
0.75,2.0863379544160123,75
0.75,2.113395320804937,75
0.75,2.070128331904879,75
0.75,2.1111605070297403,75
0.75,2.1384934190860077,75
0.75,2.1051895516609687,75
0.75,2.140124261808368,75
0.9,2.116887328736997,90
0.9,2.1160906153453958,90
0.9,2.1139750657370073,90
0.9,2.1080108981642605,90
0.9,2.11596514443069,90
0.9,2.1165828045300317,90
0.9,2.1123356987858264,90
0.9,2.1191782743904257,90
0.9,2.105520929348788,90
0.9,2.1168933441982976,90
1,2.1342352384535714,100
