rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model,nstates
0.960259,0.894731,1.183222,1.014402,inf,0.103327,-0.746175,0.456757,-1.539443,-1.440237,,0.929588,DO_mg.L,train,0,,
1.798528,0.66842,1.802371,1.316863,inf,-0.312619,-1.507747,0.742159,-4.646134,-6.549945,,0.834207,DO_mg.L,val,0,,
0.480981,0.973589,0.41344,0.521614,inf,0.014418,-0.091773,0.037473,0.689951,0.354778,,0.984217,DO_mg.L,train,0,rnn,100.0
1.894336,0.632153,1.803893,2.014936,inf,0.045145,-1.432488,1.246022,-4.655675,-16.676058,,0.788565,DO_mg.L,val,0,rnn,100.0
0.449602,0.976923,0.410562,0.581328,inf,0.048685,-0.098453,0.228382,0.694252,0.19859,,0.97807,DO_mg.L,train,0,rnn,200.0
1.923314,0.620813,1.803502,2.042659,inf,0.061428,-1.385226,1.370633,-4.65322,-17.165804,,0.763468,DO_mg.L,val,0,rnn,200.0
0.716075,0.941462,0.907013,0.704111,inf,-0.15439,-0.476063,0.089644,-0.49222,-0.175693,,0.958697,DO_mg.L,train,0,rnn,500.0
2.225215,0.492428,3.079935,1.819049,inf,-0.592127,-2.624384,0.958576,-15.487167,-13.406271,,0.721814,DO_mg.L,val,0,rnn,500.0
0.424948,0.979385,0.420059,0.470512,inf,0.019484,-0.144867,0.017525,0.679944,0.475007,,0.989128,DO_mg.L,train,0,rnn,1000.0
1.893762,0.632375,1.831813,1.8525,inf,0.000523,-1.620371,1.029847,-4.832099,-13.940991,,0.778848,DO_mg.L,val,0,rnn,1000.0
