rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model,fold_id,nlayer,nstates
1.046166,0.886387,1.251885,1.203949,inf,0.098393,-0.857918,0.683451,-1.781508,-5.36785,,0.906699,DO_mg.L,train,0,rnn,0,1,10
1.406258,0.674491,1.139034,1.998106,inf,0.239424,-0.363694,1.390844,-5.275369,-1.549903,,0.793617,DO_mg.L,val,0,rnn,0,1,10
0.889023,0.917955,1.035246,0.884607,inf,-0.011793,-0.65668,0.430635,-0.902123,-2.437771,,0.945726,DO_mg.L,train,0,rnn,0,2,10
1.606627,0.575124,1.605931,1.72652,inf,-0.105331,-0.520189,0.621341,-11.474403,-0.903837,,0.787832,DO_mg.L,val,0,rnn,0,2,10
0.976956,0.890477,1.242504,1.11782,inf,-0.002808,-0.947904,0.65879,-1.809966,-2.822317,,0.90206,DO_mg.L,train,0,rnn,1,1,10
1.695243,0.700715,2.593975,1.955966,inf,-0.076639,-2.019202,1.295493,-10.651853,-9.722677,,0.770194,DO_mg.L,val,0,rnn,1,1,10
0.85176,0.916749,0.875008,0.965795,inf,0.095643,-0.486763,0.570636,-0.393572,-1.853334,,0.937348,DO_mg.L,train,0,rnn,1,2,10
1.750805,0.680776,2.405638,2.229151,inf,0.203549,-1.757107,1.246191,-9.021301,-12.927071,,0.758148,DO_mg.L,val,0,rnn,1,2,10
1.025435,0.891351,1.322372,1.177582,inf,0.096284,-0.936172,0.670583,-2.086044,-4.635985,,0.91374,DO_mg.L,train,0,rnn,2,1,10
1.53586,0.629206,1.259289,1.775849,inf,0.344968,-0.690652,1.354687,-3.805308,-3.704956,,0.813349,DO_mg.L,val,0,rnn,2,1,10
0.884868,0.919097,0.968799,0.896708,inf,0.064654,-0.497506,0.501965,-0.656388,-2.268054,,0.950105,DO_mg.L,train,0,rnn,2,2,10
1.697366,0.547122,1.357931,2.421532,inf,0.507611,-0.274561,1.981322,-4.587602,-7.748306,,0.760695,DO_mg.L,val,0,rnn,2,2,10
0.94853,0.895391,1.193875,0.918351,inf,0.017347,-0.763279,0.426931,-1.485085,-1.89218,,0.929842,DO_mg.L,train,0,rnn,3,1,10
1.816708,0.680478,1.950816,1.403852,inf,-0.136561,-1.585403,0.531055,-5.730818,-3.675418,,0.832276,DO_mg.L,val,0,rnn,3,1,10
0.906749,0.904404,1.123068,0.957444,inf,-0.107969,-0.693336,0.486113,-1.199055,-2.143652,,0.924214,DO_mg.L,train,0,rnn,3,2,10
1.938287,0.636281,2.081676,2.159256,inf,-0.081623,-1.767743,1.172837,-6.664107,-10.060791,,0.781668,DO_mg.L,val,0,rnn,3,2,10
0.987718,0.894977,1.245677,0.975391,inf,0.063938,-0.840689,0.427581,-2.051837,-3.402265,,0.929863,DO_mg.L,train,0,rnn,4,1,10
2.771202,-0.023077,4.707581,1.46881,inf,-0.820489,-3.749785,-0.218525,-25.667416,-3.187093,,0.556626,DO_mg.L,val,0,rnn,4,1,10
0.844921,0.923149,0.934969,0.990334,inf,0.004248,-0.570308,0.447697,-0.719273,-3.538181,,0.951471,DO_mg.L,train,0,rnn,4,2,10
1.946051,0.495478,2.552231,2.4671,inf,0.241857,-2.236872,1.813459,-6.838363,-10.812867,,0.683209,DO_mg.L,val,0,rnn,4,2,10
1.042002,0.871607,1.31763,1.332651,inf,0.129831,-0.931805,0.763906,-2.001179,-2.171677,,0.899352,DO_mg.L,train,0,rnn,5,1,10
