Depth_m_idx,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model,fold_id,nlayer,nstates
0.0,0.983434,0.732265,1.509007,1.049848,0.123343,-0.021797,-1.36555,0.464637,-2.913916,0.026018,0.787916,0.81692,DO_mg.L,train,0,rnn,0,1,10
0.5,0.949206,0.780715,1.752535,0.991787,0.118409,-0.056081,-1.525762,0.509318,-4.105222,0.139744,0.830424,0.810638,DO_mg.L,train,0,rnn,0,1,10
1.0,0.918496,0.793704,1.563245,1.037273,0.118544,0.048263,-1.328995,0.59241,-4.230231,-0.018338,0.835858,0.820949,DO_mg.L,train,0,rnn,0,1,10
1.5,0.909025,0.796415,1.472744,1.040079,0.120209,0.124369,-1.175027,0.635073,-4.144829,-0.010766,0.83748,0.828119,DO_mg.L,train,0,rnn,0,1,10
2.0,0.918787,0.790311,1.455962,1.084875,0.123293,0.170053,-1.137855,0.682999,-4.047792,-0.166522,0.830636,0.828186,DO_mg.L,train,0,rnn,0,1,10
2.5,0.90067,0.805082,1.53289,1.086257,0.121617,0.110729,-1.203337,0.670318,-4.661629,-0.281774,0.841807,0.834072,DO_mg.L,train,0,rnn,0,1,10
3.0,0.913846,0.794098,1.668907,1.061039,0.120125,-0.010042,-1.346974,0.569814,-5.296438,-0.28537,0.836085,0.834365,DO_mg.L,train,0,rnn,0,1,10
3.5,0.946454,0.778172,1.529026,1.20936,inf,0.007377,-1.178536,0.61649,-4.152242,-0.744831,,0.83451,DO_mg.L,train,0,rnn,0,1,10
4.0,1.033969,0.748571,1.421245,1.52299,inf,0.068669,-1.047859,0.80712,-5.418261,-1.991833,,0.823513,DO_mg.L,train,0,rnn,0,1,10
4.5,1.098962,0.757337,1.189301,1.821261,inf,0.094745,-0.833727,1.108659,-5.849499,-2.897766,,0.820523,DO_mg.L,train,0,rnn,0,1,10
5.0,1.19553,0.745798,1.166444,2.073285,inf,0.098132,-0.740819,1.33495,-7.602249,-2.22663,,0.811777,DO_mg.L,train,0,rnn,0,1,10
5.5,1.217126,0.763714,1.208254,1.871592,inf,0.029977,-0.725086,1.306231,-11.556742,-1.757255,,0.817517,DO_mg.L,train,0,rnn,0,1,10
6.0,1.210555,0.791788,1.228871,1.809845,inf,0.038335,-0.780757,1.438822,-15.03525,-2.615718,,0.821374,DO_mg.L,train,0,rnn,0,1,10
6.5,1.251153,0.780019,1.431458,1.644568,inf,0.274312,-0.975637,1.27932,-17.421564,-13.50868,,0.815651,DO_mg.L,train,0,rnn,0,1,10
7.0,1.173045,0.811116,1.272907,1.326737,inf,0.338416,-0.985993,1.045411,-10.014992,-7895.696905,,0.819263,DO_mg.L,train,0,rnn,0,1,10
7.5,1.139174,0.821546,1.230942,1.224437,inf,0.296402,-0.996744,0.878045,-4.453157,-262667.544416,,0.838849,DO_mg.L,train,0,rnn,0,1,10
8.0,1.032439,0.855395,1.457043,,inf,0.087619,-1.149085,,-5.222213,,,0.890237,DO_mg.L,train,0,rnn,0,1,10
8.5,1.036594,0.857622,1.624269,,inf,0.032843,-1.182684,,-6.498265,,,0.90162,DO_mg.L,train,0,rnn,0,1,10
9.0,1.001032,0.870583,1.551027,,inf,0.067704,-1.118881,,-5.048215,,,0.911946,DO_mg.L,train,0,rnn,0,1,10
9.5,1.00246,0.874334,1.487688,,inf,0.109021,-1.082073,,-3.498617,,,0.912747,DO_mg.L,train,0,rnn,0,1,10
10.0,1.013555,0.873586,1.203863,,inf,0.157838,-0.883674,,-1.787494,,,0.909516,DO_mg.L,train,0,rnn,0,1,10
0.0,0.916864,0.026722,1.074001,0.763806,0.105565,0.128283,-0.710484,0.602796,-1.840084,-12.653182,0.004082,0.53781,DO_mg.L,val,0,rnn,0,1,10
0.5,0.921482,0.031283,1.073578,0.839429,0.106603,0.194581,-0.605548,0.694599,-2.27194,-18.804572,0.024243,0.54617,DO_mg.L,val,0,rnn,0,1,10
1.0,0.916057,0.025932,1.003279,0.906589,0.106636,0.246859,-0.580453,0.731998,-2.746812,-31.123432,0.03156,0.557703,DO_mg.L,val,0,rnn,0,1,10
1.5,0.918861,-0.011459,0.908029,1.031631,0.108557,0.270544,-0.490317,0.80238,-3.63221,-8.685229,0.002953,0.552537,DO_mg.L,val,0,rnn,0,1,10
2.0,0.959901,-0.064732,0.944942,1.32003,0.116469,0.317806,-0.385987,1.034122,-4.703271,-5.192047,-0.04204,0.53275,DO_mg.L,val,0,rnn,0,1,10
2.5,0.973606,-0.016763,0.995388,1.494014,0.121856,0.302367,-0.330201,1.163318,-4.904798,-3.344653,0.002213,0.532594,DO_mg.L,val,0,rnn,0,1,10
3.0,0.988011,0.068038,0.92377,1.724792,0.132012,0.265805,-0.24323,1.236982,-4.697357,-2.047545,0.079049,0.53938,DO_mg.L,val,0,rnn,0,1,10
3.5,1.145321,0.177552,0.948312,2.487234,0.180124,0.285123,-0.327731,1.997828,-4.945192,-1.543321,0.175009,0.495854,DO_mg.L,val,0,rnn,0,1,10
4.0,1.200083,0.288854,0.915314,2.515035,0.209177,0.278992,-0.095311,2.183757,-15.119424,-1.498774,0.306442,0.58004,DO_mg.L,val,0,rnn,0,1,10
4.5,1.259711,0.40105,1.041346,2.466451,0.245801,0.264138,-0.000487,2.146152,-26.463487,-1.878325,0.399722,0.652339,DO_mg.L,val,0,rnn,0,1,10
5.0,1.309332,0.450068,0.804788,2.448985,inf,0.117934,0.089389,1.640933,-18.179554,-1.297524,,0.707865,DO_mg.L,val,0,rnn,0,1,10
5.5,1.434949,0.461601,1.150453,2.478082,inf,0.041121,-0.046639,1.710011,-30.307385,-1.782375,,0.712771,DO_mg.L,val,0,rnn,0,1,10
6.0,1.519338,0.475837,1.600057,2.214221,inf,-0.014102,-0.330961,0.981453,-90.437439,-1.446154,,0.71049,DO_mg.L,val,0,rnn,0,1,10
