rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model
1.048278,0.877493,1.324781,1.243211,inf,0.021662,-0.991142,0.727564,-2.133055,-3.64958,,0.900433,DO_mg.L,train,0,rnn
1.000407,0.888426,1.179036,1.179366,inf,0.040853,-0.841425,0.650738,-1.481615,-3.18428,,0.901576,DO_mg.L,train,1,rnn
1.044236,0.878436,1.228659,1.28239,inf,0.080637,-0.77719,0.791776,-1.694899,-3.94725,,0.906212,DO_mg.L,train,2,rnn
1.048231,0.877503,1.20301,1.345175,inf,0.08319,-0.821656,0.777177,-1.58356,-4.443542,,0.895388,DO_mg.L,train,3,rnn
1.015836,0.884958,1.260819,1.221732,inf,0.017498,-0.895842,0.711185,-1.837825,-3.490301,,0.90904,DO_mg.L,train,4,rnn
1.061985,0.874268,1.220073,1.257164,inf,0.09482,-0.822834,0.696612,-1.657369,-3.754535,,0.909283,DO_mg.L,train,5,rnn
1.076601,0.870783,1.388168,1.020406,inf,-0.027053,-1.047827,0.550655,-2.440045,-2.132345,,0.904604,DO_mg.L,train,6,rnn
1.034463,0.8807,1.253765,1.086605,inf,0.033506,-0.862798,0.560265,-1.806157,-2.551951,,0.912583,DO_mg.L,train,7,rnn
1.006465,0.887071,1.257837,1.019407,inf,-0.030448,-0.850801,0.489532,-1.824416,-2.126218,,0.927909,DO_mg.L,train,8,rnn
1.076272,0.870862,1.146082,1.579777,inf,0.187203,-0.708064,1.000647,-1.344832,-6.507849,,0.890932,DO_mg.L,train,9,rnn
