Depth_m_idx,rmse,nse,rmse_top10,rmse_bot10,rmse_logged,mean_bias,mean_bias_top10,mean_bias_bot10,nse_top10,nse_bot10,nse_logged,kge,variable,partition,rep_id,model
0.0,0.95017,0.701113,1.650351,0.987737,0.119104,-0.129951,-1.422008,0.306302,-3.792821,0.277829,0.758979,0.820455,DO_mg.L,train,8,rnn
0.5,0.934649,0.743894,1.861315,0.930704,0.116027,-0.116768,-1.586091,0.330343,-4.567071,0.377925,0.800597,0.818724,DO_mg.L,train,8,rnn
1.0,0.884011,0.769714,1.623035,0.924692,0.113089,-0.010625,-1.362278,0.336763,-4.436059,0.360999,0.817182,0.834801,DO_mg.L,train,8,rnn
1.5,0.860413,0.780127,1.495629,0.912222,0.111586,0.063563,-1.207562,0.365196,-4.10883,0.376657,0.828782,0.845082,DO_mg.L,train,8,rnn
2.0,0.870344,0.77397,1.465314,0.970138,0.113841,0.116547,-1.146728,0.406129,-3.798574,0.24093,0.824271,0.84517,DO_mg.L,train,8,rnn
2.5,0.852052,0.789731,1.525623,0.95529,0.112164,0.057509,-1.203622,0.383125,-4.308129,0.196373,0.835767,0.852867,DO_mg.L,train,8,rnn
3.0,0.876465,0.774153,1.625182,0.901505,0.114925,-0.064571,-1.294837,0.231955,-4.397774,0.204312,0.819708,0.855277,DO_mg.L,train,8,rnn
3.5,0.892192,0.773061,1.543376,1.054563,inf,-0.08127,-1.197553,0.333938,-4.309816,-0.177,,0.862935,DO_mg.L,train,8,rnn
4.0,0.947038,0.762199,1.40654,1.269248,inf,-0.036841,-1.027565,0.48387,-5.231753,-0.796262,,0.862131,DO_mg.L,train,8,rnn
4.5,0.982746,0.784458,1.287056,1.449988,inf,-0.018089,-0.945074,0.751495,-6.45205,-1.313841,,0.854514,DO_mg.L,train,8,rnn
5.0,1.047513,0.785073,1.182936,1.668055,inf,-0.051541,-0.871465,0.908838,-7.455773,-1.069214,,0.849135,DO_mg.L,train,8,rnn
5.5,1.114429,0.785545,1.356092,1.629663,inf,-0.129968,-0.99023,1.015925,-14.117275,-1.072137,,0.842029,DO_mg.L,train,8,rnn
6.0,1.176779,0.791059,1.337101,1.650862,inf,-0.133774,-0.920046,1.125266,-20.242395,-1.669759,,0.846843,DO_mg.L,train,8,rnn
6.5,1.228787,0.787588,1.541938,1.449036,inf,0.075165,-0.932504,1.010744,-25.702809,-5.363873,,0.854778,DO_mg.L,train,8,rnn
7.0,1.181279,0.817001,1.345838,1.175067,inf,0.154796,-0.653076,0.82381,-15.32352,-685.46904,,0.868914,DO_mg.L,train,8,rnn
7.5,1.131673,0.837724,0.951158,0.976745,inf,0.114603,-0.444692,0.630121,-5.116821,-6601.504446,,0.895007,DO_mg.L,train,8,rnn
8.0,1.07006,0.860637,0.916221,0.915956,inf,-0.098681,-0.492759,0.490351,-3.909247,-1043761.843659,,0.919402,DO_mg.L,train,8,rnn
8.5,1.057927,0.868486,1.147366,,inf,-0.146955,-0.564312,,-6.458714,,,0.919082,DO_mg.L,train,8,rnn
9.0,0.986088,0.889944,1.047533,,inf,-0.106986,-0.577103,,-5.95694,,,0.929596,DO_mg.L,train,8,rnn
9.5,0.981807,0.894876,1.104068,,inf,-0.065876,-0.590301,,-5.748496,,,0.930366,DO_mg.L,train,8,rnn
10.0,0.980219,0.897716,1.189598,,inf,-0.031472,-0.62269,,-6.405949,,,0.932366,DO_mg.L,train,8,rnn
