Depth_m,test_rmse_from_full_training_data,test_rmse_from_downsampled_training
0,1.5469848906874701,1.7902281569543597
0.5,1.5303553935740126,1.7431206363215421
1,1.5214761425632897,1.7119725020296008
1.5,1.5564023707172616,1.680669678140021
2,1.5180521798522522,1.6136731683215537
2.5,1.5232276779180876,1.591630562739896
3,1.4896193543606924,1.5364813463977716
3.5,1.5098185767197794,1.5222142904908584
4,1.5491677726388853,1.5299867354291183
4.5,1.5380328148523916,1.5554082186947025
5,1.6192288798594796,1.6935494940205076
5.5,1.7492149138366477,1.8580348012184147
6,1.8678644470080934,1.9537710266547983
6.5,1.8862988224897717,2.1473115050201
7,1.8082256200360158,1.9268665641113638
7.5,1.7045251128873893,1.7913136503713967
8,1.6547591918088473,1.6902187311535999
8.5,1.59942033353125,1.6073556644395768
9,1.5538408409536844,1.5453106676906692
9.5,1.4976093780397206,1.4842634511742165
10,1.463552340596173,1.4415307194646028
