Depth_m,rmse_original_split,rmse_switched_split
0,1.5425853368167552,1.355681748532782
0.5,1.5254876235081671,1.498203802635207
1,1.5184179741107082,1.4885654922391145
1.5,1.5497226012305025,1.53070097830557
2,1.5119567258630275,1.5162677753920304
2.5,1.519143732723689,1.538398008631554
3,1.4887123848875625,1.5487693197684618
3.5,1.5104482246926696,1.5179982027285985
4,1.5547281711550809,1.5545132470274103
4.5,1.5514418110069321,1.6262372220589694
5,1.6323348083686287,1.6872777567366744
5.5,1.7513210009519167,1.6916799083398268
6,1.8834676551229725,1.6934653894193488
6.5,1.9048258630638861,1.6430142726095842
7,1.8227522763388022,1.5832456514471593
7.5,1.7107089045876065,1.5959713878124855
8,1.6570055813952438,1.5100331551268362
8.5,1.6016275863282157,1.5097601768819258
9,1.557320744981492,1.4975825569931305
9.5,1.5017788722361356,1.5219326546904701
10,1.4644792091139534,1.5658198433626274
