split_prop,rmse_on_test_set,split_percent
0.01,1.8931939930339545,1
0.01,1.913075947969401,1
0.01,1.8539539347199914,1
0.01,1.8842691487720078,1
0.01,1.8347894446607542,1
0.05,1.7211212813687442,5
0.05,1.714859339795205,5
0.05,1.6662359523469565,5
0.05,1.7022820131734695,5
0.05,1.7097867538507607,5
0.1,1.6526285089310022,10
0.1,1.6233884790603548,10
0.1,1.637621653887279,10
0.1,1.6598157648554064,10
0.1,1.6454445994653828,10
0.25,1.6264752991825966,25
0.25,1.633889875350504,25
0.25,1.6313478468484321,25
0.25,1.6216767128520897,25
0.25,1.6121630415170227,25
0.5,1.6241534263091078,50
0.5,1.6046992812827527,50
0.5,1.5957900237959994,50
0.5,1.6021731822411664,50
0.5,1.6118324686338372,50
0.75,1.6028207895470052,75
0.75,1.6138760572669728,75
0.75,1.59972976941471,75
0.75,1.6285206996624648,75
0.75,1.6080615488708814,75
0.9,1.609975551424327,90
0.9,1.5989871093191856,90
0.9,1.612285014638464,90
0.9,1.603672110343924,90
0.9,1.6054408061726428,90
1,1.6070210352667662,100
