Date,Time,Site,Station_ID,Depth_TMB,Depth_m,Comments,chla_ug.L,TSS_mg.L,VSS_mg.L,TDS_mg.L,NH4_mg.L,Nox_mg.L,TKN_mg.L,TP_mg.L,DOPO4_mg.L,TOC_mg.L,DOC_mg.L,Alkalinity_mg.L,Cl_mg.L,SO4_mg.L,Tfe_ug.L,TMn_ug.L,DMn_ug.L,Ca_mg.L,Mg_mg.L,Na_mg.L,K_mg.L,As_ug.L,Tsi_mg.L,Dsi_mg.L,Algae_cells.mL,Br_mg.L,Ecoli_MPN,FecalCol.100mL,TTHMFP_uM,Dfe_ug.L,DMn_ug.L,Pb_ug.L,STKN_mg.L,DTP_mg.L,TOPOO4_mg.L,CBOD5_mg.L,BOD20_mg.L,VSS_mg.L_alt,NO3_mg.L,NO2_mg.L,Si_mg.L,Color_mg.L,pH,SBFP,SolP.P_mg.L
01/01/1992,,RC-05,15170,M,,,2.5,16.6,,,214,0.06,0.49,0.39,0.17,0.07,4.45,3.52,37.4,8,,,,52.7,2.9,13.6,4.36,,,,720,,,119,9.8,30,<10,<40,0.58,,,,,,,,,,,,
02/19/1992,,RC-01,15168,T,,,9,7.1,,158,0.09,0.44,0.67,0.07,0.02,5.05,4.06,98.2,,,,,,,,,,,,,,,,0,,20,<10,<40,0.38,,,,,,,,,,,,
02/19/1992,,RC-01,15168,B,,,8.9,228,,157,0.06,0.45,0.71,0.18,0.02,4.62,4.03,98.8,,,,,,,,,,,,,,,,0,,20,10,<40,0.45,,,,,,,,,,,,
02/19/1992,,RC-02,15169,T,,,9.2,10.3,,159,0.025,0.45,0.54,0.09,0.04,4.96,4.16,93.5,,,,,,,,,,,,,,,,2,,20,<10,<40,0.45,,,,,,,,,,,,
02/19/1992,,RC-02,15169,B,,,4.7,17,,173,0.06,0.51,0.54,0.1,0.03,4.8,3.95,103,,,,,,,,,,,,,,,,16,,20,30,<40,0.45,,,,,,,,,,,,
02/19/1992,,RC-03,11068,T,,,8,13.1,,147,0.05,0.45,0.61,0.11,0.05,5.77,4.64,83,,,,,,,,,,,,,,,,0,,30,<10,<40,0.42,,,,,,,,,,,,
02/19/1992,,RC-03,11068,B,,,5.6,13.5,,154,0.025,0.49,0.55,0.11,0.03,5.56,4.62,96.1,,,,,,,,,,,,,,,,0,,20,<10,<40,0.45,,,,,,,,,,,,
02/19/1992,,RC-04,15172,T,,,18.2,33.9,,194,0.025,0.92,0.66,0.14,0.04,5.6,4.29,116,,,,,,,,,,,,,,,,4,,30,10,<40,0.47,,,,,,,,,,,,
02/19/1992,,RC-04,15172,B,,,5.9,36.1,,190,0.17,0.42,0.86,0.18,0.05,7.1,5.41,103,,,,,,,,,,,,,,,,12,,50,20,<40,0.63,,,,,,,,,,,,
02/19/1992,,RC-05,15170,T,,,16.7,8.9,,210,0.19,0.44,0.65,0.07,0.03,4.85,4.03,118,11.2,41.9,,,,56.3,2.86,14.4,4.6,,,,1600,,,3,5.01,20,<10,<40,0.44,,,,,,,,,,,,
